player_id,player_display_name,position,season,team,games,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,sack_fumbles_lost,rushing_fumbles_lost,receiving_fumbles_lost,fantasy_points,fantasy_points_ppr,fantasy_points_per_game,fantasy_points_ppr_per_game,total_touches,opportunities,total_yards,total_tds,ppr_per_game,opportunities_per_game,touches_per_game,ppr_per_opportunity,overall_rank,position_rank
00-0038809,Ben Sims,TE,2025,MIN,3,0,0,0,0,0,0,3,6,30,0,0,0,0,3.0,6.0,1.0,2.0,3,6,30,0,2.0,2.0,1.0,1.0,475,98
00-0037282,James Mitchell,TE,2025,CAR,2,0,0,0,0,0,0,3,3,28,0,0,0,0,2.8000000000000003,5.800000000000001,1.4000000000000001,2.9000000000000004,3,3,28,0,2.9000000000000004,1.5,1.5,1.9333333333333336,476,99
00-0037614,John Metchie III,WR,2025,PHI,4,0,0,0,0,0,0,4,4,18,0,0,0,0,1.8,5.8,0.45,1.45,4,4,18,0,1.45,1.0,1.0,1.45,477,201
00-0039407,Dylan Laube,RB,2025,LV,17,0,0,0,7,9,0,3,4,18,0,0,0,0,2.7,5.7,0.15882352941176472,0.33529411764705885,10,11,27,0,0.33529411764705885,0.6470588235294118,0.5882352941176471,0.5181818181818182,478,117
00-0040154,Tai Felton,WR,2025,MIN,12,0,0,0,0,0,0,3,3,25,0,0,0,0,2.5,5.5,0.20833333333333334,0.4583333333333333,3,3,25,0,0.4583333333333333,0.25,0.25,1.8333333333333333,479,202
00-0037120,Tyler Goodson,RB,2025,IND,10,0,0,0,9,24,0,2,3,8,0,0,0,0,3.2,5.2,0.32,0.52,11,12,32,0,0.52,1.2,1.1,0.43333333333333335,480,118
00-0034487,Trent Sherfield,WR,2025,DEN,3,0,0,0,0,0,0,3,4,21,0,0,0,0,2.1,5.1,0.7000000000000001,1.7,3,4,21,0,1.7,1.3333333333333333,1.0,1.275,481,203
00-0036534,Shane Zylstra,TE,2025,DET,1,0,0,0,0,0,0,3,5,20,0,0,0,0,2.0,5.0,2.0,5.0,3,5,20,0,5.0,5.0,3.0,1.0,482,100
00-0039737,Tip Reiman,TE,2025,ARI,3,0,0,0,0,0,0,3,5,18,0,0,0,0,1.8,4.8,0.6,1.5999999999999999,3,5,18,0,1.5999999999999999,1.6666666666666667,1.0,0.96,483,101
00-0038579,Aidan O'Connell,QB,2025,LV,1,102,0,0,1,7,0,0,0,0,0,0,0,0,4.78,4.78,4.78,4.78,1,1,109,0,4.78,1.0,1.0,4.78,484,62
00-0039884,Tahj Washington,WR,2025,MIA,2,0,0,0,0,0,0,3,5,37,0,0,0,1,1.7000000000000002,4.699999999999999,0.8500000000000001,2.3499999999999996,3,5,37,0,2.3499999999999996,2.5,1.5,0.9399999999999998,485,204
00-0037557,Ronnie Rivers,RB,2025,LA,6,0,0,0,9,46,0,0,0,0,0,0,0,0,4.6000000000000005,4.6000000000000005,0.7666666666666667,0.7666666666666667,9,9,46,0,0.7666666666666667,1.5,1.5,0.5111111111111112,486,119
00-0036331,Devin Duvernay,WR,2025,CHI,17,0,0,0,0,0,0,2,5,26,0,0,0,0,2.6000000000000005,4.6000000000000005,0.15294117647058827,0.2705882352941177,2,5,26,0,0.2705882352941177,0.29411764705882354,0.11764705882352941,0.9200000000000002,487,205
00-0040172,Jordan Watkins,WR,2025,SF,2,0,0,0,0,0,0,2,3,26,0,0,0,0,2.6,4.6000000000000005,1.3,2.3000000000000003,2,3,26,0,2.3000000000000003,1.5,1.0,1.5333333333333334,488,206
00-0039458,Brenden Bates,TE,2025,CLE,4,0,0,0,0,0,0,2,3,25,0,0,0,0,2.5,4.5,0.625,1.125,2,3,25,0,1.125,0.75,0.5,1.5,489,102
00-0040432,Beaux Collins,WR,2025,NYG,4,0,0,0,0,0,0,2,6,25,0,0,0,0,2.5,4.5,0.625,1.125,2,6,25,0,1.125,1.5,0.5,0.75,490,207
00-0037524,Tay Martin,WR,2025,WAS,2,0,0,0,0,0,0,2,2,23,0,0,0,0,2.3000000000000003,4.300000000000001,1.1500000000000001,2.1500000000000004,2,2,23,0,2.1500000000000004,1.0,1.0,2.1500000000000004,491,208
00-0039458,Brenden Bates,TE,2025,HOU,1,0,0,0,0,0,0,2,2,23,0,0,0,0,2.3000000000000003,4.300000000000001,2.3000000000000003,4.300000000000001,2,2,23,0,4.300000000000001,2.0,2.0,2.1500000000000004,492,103
00-0040494,Max Brosmer,QB,2025,MIN,7,328,0,4,7,11,0,0,0,0,0,1,0,0,4.220000000000001,4.220000000000001,0.602857142857143,0.602857142857143,7,7,339,0,0.602857142857143,1.0,1.0,0.602857142857143,493,63
00-0038519,Nikko Remigio,WR,2025,KC,14,0,0,0,1,11,0,1,1,21,0,0,0,0,3.2,4.2,0.2285714285714286,0.3,2,2,32,0,0.3,0.14285714285714285,0.14285714285714285,2.1,494,209
00-0036360,Clyde Edwards-Helaire,RB,2025,KC,2,0,0,0,7,13,0,2,2,9,0,0,0,0,2.2,4.2,1.1,2.1,9,9,22,0,2.1,4.5,4.5,0.4666666666666667,495,120
00-0040547,Nate Carter,RB,2025,ATL,2,0,0,0,9,60,0,0,0,0,0,0,1,0,4.000000000000001,4.000000000000001,2.0000000000000004,2.0000000000000004,9,9,60,0,2.0000000000000004,4.5,4.5,0.44444444444444453,496,121
00-0038728,Jared Wayne,WR,2025,HOU,1,0,0,0,0,0,0,2,2,20,0,0,0,0,2.0,4.0,2.0,4.0,2,2,20,0,4.0,2.0,2.0,2.0,497,210
00-0037132,Britain Covey,WR,2025,PHI,6,0,0,0,0,0,0,2,4,20,0,0,0,0,2.0,4.0,0.3333333333333333,0.6666666666666666,2,4,20,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,498,211
00-0037594,Julius Chestnut,RB,2025,TEN,16,0,0,0,11,40,0,0,2,0,0,0,0,0,4.0,4.0,0.25,0.25,11,13,40,0,0.25,0.8125,0.6875,0.3076923076923077,499,122
00-0040406,Quentin Skinner,WR,2025,NYJ,1,0,0,0,0,0,0,1,1,10,0,0,0,0,3.0,4.0,3.0,4.0,1,1,10,0,4.0,1.0,1.0,4.0,500,212
00-0038752,Jake Bobo,WR,2025,SEA,5,0,0,0,0,0,0,2,2,20,0,0,0,0,2.0,4.0,0.4,0.8,2,2,20,0,0.8,0.4,0.4,2.0,501,213
00-0036679,Shane Buechele,QB,2025,KC,1,88,0,0,1,4,0,0,0,0,0,0,0,0,3.92,3.92,3.92,3.92,1,1,92,0,3.92,1.0,1.0,3.92,502,64
00-0037654,Tucker Fisk,TE,2025,LAC,4,0,0,0,0,0,0,2,4,19,0,0,0,0,1.9000000000000004,3.9000000000000004,0.4750000000000001,0.9750000000000001,2,4,19,0,0.9750000000000001,1.0,0.5,0.9750000000000001,503,104
00-0039686,Colson Yankoff,TE,2025,WAS,10,0,0,0,0,0,0,2,3,18,0,0,0,0,1.8,3.8000000000000003,0.18,0.38,2,3,18,0,0.38,0.3,0.2,1.2666666666666668,504,105
